source	target	correlation
Ashikaga Holdings	China Development Financial	0.02499778056431467
Hilton Worldwide Holdings	HD Supply Holdings	0.04933647344884658
Yara International	KB Financial Group	0.02372555436762754
Kagoshima Bank	Gunma Bank	0.5905229802252671
Sempra Energy	Alliant Energy	0.23403204301293387
Isbank	Turkcell	0.024133844776441694
Zenith Bank	Huntington Bancshares	0.051602205701958205
Dongbu Insurance	The Priceline Group	0.023596646060692963
Grupa PZU	PKO Bank Polski	0.16061568390890868
Global Logistic Properties	CF Industries Holdings	0.0475805131815603
L Brands	McCormick & Co	0.02488014194039656
Ford Motor	Lear	0.02529386609066686
National Australia Bank	Allahabad Bank	0.05217601493123413
Hindalco Industries	SBI Holdings	0.024645398190887822
UCO Bank	Bank Audi	0.07796712177115833
UnitedHealth Group	Prudential Financial	0.049635696992450705
Doha Bank	Punjab National Bank	0.1034927558491506
China Cinda Asset Management	Samsung Life Insurance	0.023588884185847706
Meritz Financial Group	SK Innovation	0.024498384444973865
Imperial Tobacco Group	Permanent TSB Group	0.07939108785705708
Meiji Holdings	Fosun International	0.047145000657252946
Enagas	Salzgitter	0.023844319502716357
Alpha Bank	Oriental Land	0.024795074050593724
China Cinda Asset Management	Standard Bank Group	0.02322535302199093
SJM Holdings	HD Supply Holdings	0.08113547008483261
Sembcorp Industries	CIMB Group Holdings	0.024166230242567078
Industrial Bank	PNC Financial Services	0.02859470836002191
Nestle	Yum Brands	0.023349511889148196
Sumitomo Rubber	Posco	0.04916487823330499
BOK Financial	Arab National Bank	0.023892946579219313
Japan Airlines	Qantas Airways	0.07864340906343292
Babcock International Group	Magna International	0.08046389460624581
Shanghai Electric Group	China Cosco Holdings	0.0762925154465468
Deutsche Boerse	IntercontinentalExchange	0.052115816870129575
Zimmer Holdings	JX Holdings	0.08863550856709052
AutoZone	CarMax	0.32659298649700386
Micron Technology	SK Innovation	0.025491257437887
Mylan	Actelion	0.05388314694055898
China State Construction Engineering	Siam Commercial Bank	0.02327514521520012
Guosen Securities	Daewoo Securities	0.05138521429471579
Fukuoka Financial Group	Sumitomo Metal Mining	0.025145533896980814
Southern Co	China Eastern Airlines	0.056613431871743156
Dubai Islamic Bank	Arab National Bank	0.1266657849169484
Centrica	Hammerson plc	0.046766291814447074
China Coal Energy	Huadian Power International	0.32506827908745445
Shanghai Pharmaceuticals	China Minsheng Banking	0.024764540825103747
KT Corp	Chunghwa Telecom	0.09874121094763134
Burgan Bank	ANZ	0.022921793118797527
PPL	FirstEnergy	0.6301268039856378
World Fuel Services	Metro Group	0.02571895608054674
Sumitomo Corp	Daikin Industries	0.024040031129238592
Shinhan Financial Group	IOI Group	0.04804480809413951
Jyske Bank	First Gulf Bank	0.07674662876557005
Sunac China Holdings	Towngas	0.05107002582908925
Sino Land	American International Group	0.02721251773849362
Givaudan	Biogen Idec	0.023925369363444044
Meiji Holdings	Midea Group Co. Ltd.	0.21866074930388077
AstraZeneca	Rohm	0.049442395312012485
Magnit	Evraz Group	0.023658750149146836
Luxottica Group	Klepierre	0.02498155560693273
China Taiping Insurance	ASML Holding	0.024241484214479903
Ping An Insurance Group	Smurfit Kappa Group	0.0244711085772063
Joyo Bank	Commercial Bank For Investment & Development Of Vietnam	0.025468806083989225
HD Supply Holdings	Nippon Steel & Sumitomo Metal	0.024660822979080513
Nippon Paper Industries	Toppan Printing	0.02397174184639679
Merck	Bayer	0.15660666585368296
Advance Auto Parts	Delphi Automotive	0.02365372488966679
AmTrust Financial Services	Intact Financial	0.05196234895562362
VTB Bank	Magnit	0.0920167154397795
Paccar	Textron	0.07277636159442791
Oi	Softbank	0.02410638858005365
Babcock International Group	BS Financial Group	0.05071667363497491
Hysan Development	E.Sun Financial	0.02732562721305597
Arca Continental	Banco Continental	0.07936630627149119
Land Securities Group	PNC Financial Services	0.026038936934493637
Direct Line Insurance	Permanent TSB Group	0.02472437634835048
PBF Energy	Cimarex Energy	0.13230329228769203
Huaneng Power International	JX Holdings	0.024497223799489643
Meritz Financial Group	China Construction Bank	0.025387899420947237
SK Innovation	China Resources Enterprise	0.023526339871815304
Burgan Bank	Deutsche Bank	0.07903559753836409
SingTel	SK Telecom	0.02287347789943109
Nippon Paper Industries	Mitsubishi Materials	0.14952643847579292
BCV Group	KBC Group	0.07308765651161027
TDK	JFE Holdings	0.023320754281790083
Financial Street Holdings	Century Tokyo Leasing	0.024225490971486744
Saudi Hollandi Bank	Saudi Basic Industries	0.05163447184581119
Abu Dhabi Islamic Bank	Doha Bank	0.026273747958418105
China Construction Bank	Taiwan Cooperative Financial	0.10349513641551003
Land Securities Group	CNO Financial Group	0.024864267761120336
Sany Heavy Industry	Shenzhen Overseas	0.024093750101809516
China International Marine	IOI Group	0.026787088730432215
Meritz Financial Group	Chongqing Rural Bank	0.027107418661232754
FBN Holdings	Graham Holdings	0.09762233609269468
Wheelock & Co	J. Front Retailing	0.024792622084680898
Renesas Electronics	Compal Electronics	0.14877716153180615
Itochu	JFE Holdings	0.12415897225948211
Dai Nippon Printing	Sany Heavy Industry	0.025961013456950344
Intouch Holdings	Midea Group Co. Ltd.	0.10797035984267005
Woodside Petroleum	Apache	0.024775935968905035
Raiffeisen Bank International	Shanghai Commercial & Savings Bank	0.09828526259274058
Land Securities Group	Kimco Realty	0.026647783186704754
Tongling Nonferrous Metals	Inner Mongolia Baotou Steel	0.050293645904687254
SL Green Realty	Agile Property Holdings	0.0784531292475481
Allianz	Prudential Financial	0.07739915260634442
Avis Budget Group	Noble Group	0.024528467849269237
China Unicom	Changjiang Securities	0.02409012727025112
Babcock International Group	Oceanwide Holdings	0.050230769511197704
Daito Trust Construction	NH Investment & Securities	0.02411157787094713
Sandvik	Paccar	0.02372254603102085
Tingyi Holding	Guangzhou Automobile Group Co. Ltd.	0.07448301370930702
Kirin Holdings	Suntory Beverage & Food	0.07486137400244827
Novolipetsk Steel	Nippon Steel & Sumitomo Metal	0.0523177735158231
Daito Trust Construction	AIA Group	0.02405042881883318
Meiji Holdings	Asahi Kasei	0.17819173947101175
Intel	Symantec	0.023326926238567358
Bank Muscat	Industrial Bank	0.12967651800690744
Neste Oil	Saras	0.022986692800140932
Israel Discount Bank	First Gulf Bank	0.07639976878390185
CME Group	SVB Financial Group	0.05039925850556226
Aareal Bank	E.Sun Financial	0.04946314226455143
China Taiping Insurance	Commercial Bank For Investment & Development Of Vietnam	0.02501259373534499
Commonwealth Bank	PNC Financial Services	0.024990219913138483
Tosoh	Ajinomoto	0.10001491680274739
Fubon Financial	Commercial Bank For Investment & Development Of Vietnam	0.026638006264007925
Thomas Cook Group	CK Hutchison	0.02307807826811729
WPG Holdings	Axis Capital Holdings	0.06576437392895781
China Railway Construction	TBEA	0.15122381266593785
Suruga Bank	Shenzhen Overseas	0.04917888959001362
China Pacific Insurance	Hainan Airlines	0.04895374679911842
Industrial Alliance Insurance	China Resources Enterprise	0.023967286115643284
X5 Retail Group	IOI Group	0.04965618881548198
Burgan Bank	SunTrust Banks	0.05296231224255431
Nissan Motor	Fiat Chrysler Automobiles	0.07362644915976811
Hyundai Glovis	Toyota Motor	0.024239465581175137
Public Storage	Chugoku Electric Power	0.02357616657302946
Kaisa Group Holdings	Nippon Telegraph & Tel	0.02626765766475955
New China Life Insurance	Sun Life Financial	0.05081007552242946
Shanghai Industrial Holdings	Fosun International	0.20366646976998834
Enel	Acciona	0.12931759556239295
SSE	Iberdrola	0.025922478374439062
Sumitomo Mitsui Trust	Korea Gas	0.024431351023963772
Citic Securities	Daiwa Securities	0.13108242470249046
Eisai	Idemitsu Kosan	0.1443943155197605
Harbin Bank	China Development Financial	0.10119915554368929
CGI Group	Ping An Insurance Group	0.025025369971645204
Showa Shell Sekiyu	Tohoku Electric Power	0.02433965119052396
Fubon Financial	SK Holdings	0.048582390856098834
Emirates NBD	Ezdan Holding Group	0.02370332697208093
SL Green Realty	WH Group	0.07492580641211338
Nippon Paint	Arrow Electronics	0.02432765455504843
Sinopharm Group	Principal Financial Group	0.049485607954832866
Sinopharm Group	JG Summit Holdings	0.026031090960962334
Allianz	Vienna Insurance Group	0.11931921883499189
Woodside Petroleum	Power Finance	0.02468917841417658
Eastman Chemical	Evonik	0.02540566617851067
China Resources Enterprise	Sinohydro Group	0.04777537058771206
Asahi Group Holdings	China Resources Enterprise	0.023348388183428142
Becton Dickinson	Thomas Cook Group	0.026187654436327645
China Pacific Insurance	Canadian Pacific Railway	0.10267743164276286
China Oilfield Services	China Mengniu Dairy	0.02443804240801438
AutoZone	JC Penney	0.02167500295521271
Fidelity National Information	Expeditors International	0.025697886411149336
Shaanxi Coal Industry	Inner Mongolia Baotou Steel	0.17414063352643838
Suruga Bank	Corporation Bank	0.07338835160174981
Banco Davivienda	Banco Comercial Portugues	0.1528470692295027
Xinhu Zhongbao	Weichai Power	0.04940256683683135
Harbin Bank	Taiwan Cooperative Financial	0.23757571131407623
Banco BPI	Grupo Aval	0.050312244677179145
Chunghwa Telecom	KDDI	0.026553876993678945
Lear	Valeo	0.07366264732286304
SOHO China	China Hongqiao Group	0.20946053266715114
Tokio Marine Holdings	Sumitomo Electric	0.048530110155274794
China Oilfield Services	China CNR	0.0520897984047233
Barrick Gold	Teck Resources	0.1730721364725649
Alrosa	Voestalpine	0.023804191251982625
Kobe Steel	Samsung Heavy Industries	0.026532923516458203
Shanghai Industrial Holdings	Southern Co	0.04847567019073028
North Pacific Bank	Chugoku Bank	0.022949259501657156
Noble Group	Metro Group	0.07071464008417634
Espirito Santo Financial	Credicorp	0.04943739147673015
PTT Global Chemical	Sumitomo Rubber	0.024338902464791545
China Construction Bank	China Development Financial	0.17708106425602863
Shizuoka Bank	Century Tokyo Leasing	0.0830128077525847
Kerry Properties	Metropolitan Bank & Trust	0.024944918076410506
Chang Hwa Bank	Li & Fung	0.22958005618103539
Denso	Mitsubishi Motors	0.05149936912351846
